name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,First Owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5
Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Individual,Manual,First Owner,17.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5
Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5
Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5
Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5
BMW X1 sDrive 20D xLine,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,18.31 kmpl,1879 CC,120 bhp,389Nm@ 2500rpm,5
BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm,5
BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm,5
Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5
Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5
Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,Third Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5
Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,Third Owner,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5
Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,Third Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,Third Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5
Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,Third Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,Third Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,Third Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5
Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,Third Owner,19.44 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5
Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,Third Owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5
Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,First Owner,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5
Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6
Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5
Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,Third Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai Verna Transform SX VTVT,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.2 kmpl,1599 CC,103.2 bhp,14.9 KGM at 3000 RPM,5
Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,Third Owner,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5
Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Petrol,Individual,Manual,Third Owner,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5
Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,Third Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Individual,Manual,Third Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5
Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,Third Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Honda City i VTEC S,2015,600000,50000,Petrol,Individual,Manual,Third Owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5
Honda Brio S MT,2014,290000,60000,Petrol,Individual,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5
Maruti Wagon R LXI CNG,2016,360000,50000,CNG,Individual,Manual,Third Owner,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5
Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Individual,Manual,Third Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5
Maruti Omni E 8 Str STD,2003,40000,90000,Petrol,Individual,Manual,First Owner,,,,,
Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Individual,Automatic,Third Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,Third Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Alto 800 LXI,2018,270000,20000,Petrol,Individual,Manual,Third Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,Third Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Swift VXI Optional,2017,500000,20000,Petrol,Individual,Manual,Third Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,Third Owner,17.6 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7
Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5
Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,Third Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5
Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Individual,Manual,Third Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Individual,Automatic,Third Owner,14.53 kmpl,1794 CC,138.1 bhp,173Nm@ 4000rpm,5
Honda Brio S MT,2012,265000,60000,Petrol,Individual,Manual,Third Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5
Maruti Baleno Alpha Automatic,2018,830000,5000,Petrol,Individual,Automatic,Third Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Maruti Alto LXi,2011,160000,25000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Datsun GO T BSIV,2017,329000,80000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5
Hyundai i20 1.2 Sportz,2012,275000,93000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5
Tata Zest Revotron 1.2 XT,2018,520000,60000,Petrol,Individual,Manual,Third Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5
Maruti Swift 1.3 VXi,2008,130000,120000,Petrol,Individual,Manual,First Owner,,,,,
Nissan Sunny XL,2014,550000,37000,Petrol,Individual,Manual,Third Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,15000,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1497 CC,121.36 bhp,150Nm@ 4500rpm,5
Mahindra Quanto C8,2013,300000,120000,Diesel,Individual,Manual,First Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7
Maruti Ritz LDi,2010,250000,110000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,Diesel,Individual,Manual,Third Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5
Renault KWID RXT,2016,270000,44000,Petrol,Individual,Manual,Third Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Maruti Ertiga VDI,2015,640000,80000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Mahindra XUV500 W4,2015,650000,125000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5
Hyundai Santro Xing GLS,2011,165000,75000,Petrol,Individual,Manual,Third Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5
Hyundai Accent GLE,2007,80000,120000,Petrol,Individual,Manual,Second Owner,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5
Mahindra XUV500 W8 2WD,2012,535000,120000,Diesel,Individual,Manual,Third Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,70000,Diesel,Individual,Manual,Third Owner,12.99 kmpl,2494 CC,100.57 bhp,200Nm@ 1400-3400rpm,7
Maruti Swift Dzire VDI,2013,550000,70000,Diesel,Individual,Manual,Third Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Honda Amaze S CVT Petrol BSIV,2019,680000,15000,Petrol,Individual,Automatic,Third Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5
Hyundai i10 Sportz 1.2,2009,200000,53000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5
Maruti Swift Dzire VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Ertiga SHVS ZDI Plus,2016,1000000,70000,Diesel,Individual,Manual,Third Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7
Hyundai Getz 1.3 GVS,2008,110000,120000,Petrol,Individual,Manual,Second Owner,14.2 kmpl,1341 CC,82.9 bhp,"11.8@ 3,200(kgm@ rpm)",5
Hyundai i20 1.2 Magna,2012,320000,100000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5
Tata Indica DLS,2005,75000,110000,Diesel,Individual,Manual,Second Owner,,,,,
Maruti Swift LXI Optional-O,2015,350000,100000,Petrol,Individual,Manual,Third Owner,20.4 kmpl,1197 CC,83.11 bhp,113Nm@ 4200rpm,5
Tata Indica Vista TDI LS,2013,170000,162500,Diesel,Individual,Manual,Third Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5
Maruti Swift Dzire LDi,2012,310000,120000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Honda City i DTEC V,2015,725000,50000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Swift Dzire ZDi,2012,340000,110000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Hyundai Xcent 1.2 CRDi E,2017,550000,2000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5
Toyota Fortuner 3.0 Diesel,2011,1150000,181000,Diesel,Individual,Manual,First Owner,11.5 kmpl,2982 CC,171 bhp,343Nm@ 1400-3400rpm,7
Tata Tiago 1.05 Revotorq XZ,2016,380000,70000,Diesel,Individual,Manual,Third Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5
Nissan Sunny XL AT Special Edition,2013,350000,90000,Petrol,Individual,Automatic,First Owner,17.97 kmpl,1498 CC,99.6 bhp,134Nm@ 4000rpm,5
